query,intent,answer,sim_result
페르마타 수상 내역,활동,페르마타 활동내용은 해당 동아리에 직접 문의하여 주시기 바랍니다. :),True
동아리 수가 왜이리 적나요,기타,답변할 수 없는 질문입니다. 강릉원주대학교 원주캠퍼스 동아리에 대해서 궁금하신 점이 있으신가요?,NO
중앙동아리 가입비가 동아리당 8만원인데 사용 내역 투명하게 공개 안하시나요,가입방법,죄송해요 무슨 말인지 모르겠어요. 조금 더 공부 할게요.,False
페르마타 인원수는 몇명인가요,기타,답변할 수 없는 질문입니다. 강릉원주대학교 원주캠퍼스 동아리에 대해서 질문해주세요.,NO
페르마타 회비는 얼마인가요,회비,페르마타 동아리 회비는 해당 동아리에 직접 문의 부탁드립니다,True
동아리 해체 절차,종류,죄송해요 무슨 말인지 모르겠어요. 조금 더 공부 할게요.,False
동아리 창설 절차,종류,죄송해요 무슨 말인지 모르겠어요. 조금 더 공부 할게요.,False
동아리 탈퇴 절차,종류,죄송해요 무슨 말인지 모르겠어요. 조금 더 공부 할게요.,False
마술 동아리 알려줘,종류,죄송해요 무슨 말인지 모르겠어요. 조금 더 공부 할게요.,False
동아리 장점,종류,죄송해요 무슨 말인지 모르겠어요. 조금 더 공부 할게요.,False
페르마타 장점,욕설,부적절한 질문이거나 답변할 수 없습니다.,NO
페르마타 단점,위치,죄송해요 무슨 말인지 모르겠어요. 조금 더 공부 할게요.,False
동아리 단점,종류,죄송해요 무슨 말인지 모르겠어요. 조금 더 공부 할게요.,False
동아리 활동 주 3회 하는 곳 알려줘,활동,죄송해요 무슨 말인지 모르겠어요. 조금 더 공부 할게요.,False
운동 동아리 논란 및 사건사고 알려줘,종류,죄송해요 무슨 말인지 모르겠어요. 조금 더 공부 할게요.,False
동아리 뭐가 있음,종류,죄송해요 무슨 말인지 모르겠어요. 조금 더 공부 할게요.,False
릉주대 동아리 뭐있어?,분류,강릉원주대학교 원주캠퍼스의 중앙동아리는 기독교 동아리, 힙합 동아리, 공연 동아리, 어쿠스틱 밴드 동아리 ,여자 댄스 동아리, 밴드 동아리, 치어리딩 동아리, 패션 동아리, 사진 동아리, 보드게임 동아리, 그림 동아리, 볼링 동아리, 테니스 동아리, 농구 동아리, 봉사 동아리, 취업동아리, 창업동아리 등이 있습니다.,True
5인 이상 동아리 알려줘,종류,죄송해요 무슨 말인지 모르겠어요. 조금 더 공부 할게요.,False
신생 동아리 알려줘,종류,죄송해요 무슨 말인지 모르겠어요. 조금 더 공부 할게요.,False
조용히 즐길 수 있는 동아리 알려줘,종류,강릉원주대학교 원주캠퍼스의 봉사 동아리는 RCY가 있습니다.,True
활동적인 동아리 알려줘,활동,죄송해요 무슨 말인지 모르겠어요. 조금 더 공부 할게요.,False
동아리란?,종류,죄송해요 무슨 말인지 모르겠어요. 조금 더 공부 할게요.,False
동아리 성비 알려줘,분류,강릉원주대학교 원주캠퍼스의 중앙동아리는 기독교 동아리, 힙합 동아리, 공연 동아리, 어쿠스틱 밴드 동아리 ,여자 댄스 동아리, 밴드 동아리, 치어리딩 동아리, 패션 동아리, 사진 동아리, 보드게임 동아리, 그림 동아리, 볼링 동아리, 테니스 동아리, 농구 동아리, 봉사 동아리, 취업동아리, 창업동아리 등이 있습니다.,True
동아리 생성 절차,생성,동아리 생성 관련 안내 링크입니다. :) https://gwnuclubs.modoo.at/?link=9wijj92u,True
동아리 관리 부서 전화번호,기타,강릉원주대학교 원주캠퍼스 동아리에 대해서 질문해주세요. 궁금하신 부분에 대해서 알려드릴게요. :),NO
동아리 위치,위치,죄송해요 무슨 말인지 모르겠어요. 조금 더 공부 할게요.,False
